Designator,Footprint,Quantity,Value,LCSC Part #
C1,C0603,1,100nF,C14663
"C10, C14",0603,2,15p,C1644
"C11, C13, C15, C16, C17, C18, C19, C47, C7, C8, C9",0603,11,2.2u,C23630
"C12, C2, C20, C24, C35, C43, C6",0603,7,100n,C14663
"C21, C23, C26, C28, C39, C4, C40, C66, C67",0603,9,1nF,C1588
"C22, C25, C30, C32, C44",0603,5,2.2uF,C23630
C27,0603,1,6.8n,C1631
C29,0603,1,150p,C1594
C3,0603,1,.01uF,C57112
C31,0603,1,22n,C21122
"C33, C42",1210,2,"4.7uF, 100V",C385986
C34,0603,1,15nF,C1596
"C36, C37, C38, C41",0603,4,220n,C21120
"C45, C46, C48, C49, C50, C51",0805,6,22uf,C45783
C5,0603,1,0.1u,C14663
"C52, C53, C59, C60",0603,4,2.2nF,C1604
"C54, C57, C65",CP_10x20mm_hor_with_model_mirrored_less_silk,3,"330u, 63V",C437643
"C55, C56, C63, C64, C68, C69",0805,6,"4.7nF, 100V",C565636
"C58, C61, C62",2220,3,"10uF, 100V",C153035
"C70, C71",C1206,2,22uF,C77091
"D1, D2",SOT-363_SC-70-6,2, SMF05CT1G,C15879
"D10, D11, D12, D13, D14, D15",D_SOD-323,6,D_Schottky,C313457
D16,SMA_L4.3-W2.6-LS5.2-RD,1,SS34,C8678
D3,0603,1,RED,C2286
D4,0603,1,GRN,C72043
D5,0603,1,BLU,C965807
D6,D_SMA,1,"100v, 1A",C224219
D7,D_SMB,1,D_TVS,C78395
D8,TO-220-2_Horizontal_TabUp,1,STTH3010DTO-220AC_STM,C73865
D9,SODFL3618X110N,1,GOODWORK K110,C908663
"F1, F2, F3",Fiducial_1mm_Dia_2mm_Outer,3,Fiducial,
"H1, H2, H3, H4_3, H4_2, H4, H5, H6",MountingHole_3.2mm_M3_ISO14580_Pad,8,MountingHole,
H7,Sam_J,1,SLJ,
H8,OSHW-Logo2_9.8x8mm_SilkScreen,1,Open Hardware Logo,
H9,KiCad-Logo2_5mm_SilkScreen,1,KiCAD Logo,
J1,JST_PH_B7B-PH-K_1x07_P2.00mm_Vertical,1,Conn_01x07,
J10,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,On/Off,
J11,CONN-TH_1755736,1,VESC_Vin,C480503
J12,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,PWR LED,
J13,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,1,E-Stop,
J2,GCT_USB4105-GF-A,1,USB4105-GF-A,C319148
"J3, J7",JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,2,Conn_01x02,
J4,CONN-TH_2P-P5.08_1757242,1,Conn_01x02,C90074
J5,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical_hybrid,1,Conn_01x03,
J6,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x03,
J8,CONN-TH_MSTBA2.5-4-G-5.08,1,MotorPower,C90076
J9,PinHeader_2x05_P2.00mm_Vertical,1,UNUSED MCU PINS,
JP1,SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm_NumberLabels,1,SolderJumper_3_Open,
L1,L_Taiyo-Yuden_NR-60xx_HandSoldering,1,22u,C266430
L2,IND-SMD_L7.0-W6.8,1,22uH,C27442
"NT1, NT2, NT3, NT4, NT5, NT6",NetTie-2_SMD_Pad0.5mm,6,Net-Tie_2,
NTC1,0603,1,NTC 10k,C76589
P1,JST_PH_B6B-PH-K_1x06_P2.00mm_Vertical,1,HALL/Encoder,
P2,JST_PH_B5B-PH-K_1x05_P2.00mm_Vertical,1,Conn_01x05_PH_SWIO,
Q1,TO-247-3_Horizontal_TabUp,1,FGH40N60SFDTU,C49514
"Q10, Q11, Q2, Q3, Q6, Q7",SOT-23,6,Q_PNP_BCE,C8542
"Q12, Q13, Q4, Q5, Q8, Q9",TO-220-3_Horizontal_TabUp_no_hole,6,NCEP60T20,C284868
"R1, R2",R0603,2,5.1k,C23186
"R10, R15, R16, R17, R29, R37, R39, R41, R5",0603,9,2k2,C4190
"R11, R8, R9",0603,3,100R,C22775
"R12, R13",0603,2,60,C25196
"R14, R18, R19, R20, R22, R23, R30, R32",0603,8,10k,C25804
"R21, R33, R34",0603,3,1.5k,C22843
"R24, R25, R31",0603,3,1k,C21190
R26,0603,1,3.3k,C22978
R27,0603,1,18k,C25810
R28,0603,1,15k,C22809
R3,0603,1,0R,C3017805
R35,0603,1,220k,C22961
"R36, R38, R4, R40",0603,4,39k,C23153
"R42, R44",RESC2012X65,2,20k,C114233
"R43, R45",RESC2012X65,2,1k,C100046
"R46, R47, R49, R86",RESC2012X65,4,10k,C100047
"R48, R89",RESC2012X65,2,560,C137421
"R50, R51, R62, R63, R74, R75",0603,6,4.7R,C23164
"R52, R53, R64, R65, R76, R77",0805,6,4.7R,C17675
"R54, R55, R66, R67, R78, R79",0603,6,4.7k,C23162
"R56, R57, R68, R69, R80, R81",R_2512_Yageo_big_pads,6,0.01R,C2903468
"R58, R59, R60, R61, R70, R71, R72, R73, R82, R83, R84, R85",0805,12,10R,C17415
"R6, R7",0603,2,22R,C23345
R87,RESC2012X65,1,62K,C137415
R88,RESC2012X65,1,3k3,C114222
TP1,TP1X01,1,12V,
TP2,TP1X01,1,BR-,
TP3,TP1X01,1,BR+,
U1,SOIC-8_3.9x4.9mm_P1.27mm,1,TJA1051T/3/1J,C38695
U2,LQFP-64_10x10mm_P0.5mm,1,STM32F405RGT6,C15742
U3,SOIC-8_3.9x4.9mm_P1.27mm,1,TP2604-SR,C126446
U4,HTSSOP-56-1EP_6.1x14mm_P0.5mm_EP3.61x6.35mm,1,DRV8301,C98969
U5,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
U6,DIP794W45P254L959H508Q8,1,LM358P,C5213
U7,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL(MT3608),1,MT3608,C84817
U8,MT3068_Module,1,MT3608_Modle,
USB1,CONN-TH_B3B-PH-K-S,1,Conn_01x03,C131339
X1,Crystal_SMD_5032-2Pin_5.0x3.2mm,1,8MHz 10ppm (X50328MSB2GI),C115962
