Designator,Mid X,Mid Y,Rotation,Layer,
C1,83.9132,16.627,0,top,
C10,21.8,29.75,180,top,
C11,23.300357,27.317517,270,top,
C12,26.9,26.2,270,top,
C13,21.900357,27.317516,270,top,
C14,30.4,30.5,90,top,
C15,32.3,23.4,270,top,
C16,31.3,11.599999,180,top,
C17,17.5,12.9,0,top,
C18,16.9,21.849999,0,top,
C19,29.5,25.6,270,top,
C2,24.900001,27.317514,270,top,
C20,44.6,44.912499,270,top,
C21,46.4,38.8,90,top,
C22,28.6,40,270,top,
C23,45.1,55.4,0,top,
C24,46.4,41.8,90,top,
C25,30.1,40,270,top,
C26,37.65,33.3,90,top,
C27,24,37.2,90,top,
C28,39.15,33.3,90,top,
C29,22.5,40.2,90,top,
C3,33.8,19.6,270,top,
C30,35.25,40,270,top,
C31,31.6,40,270,top,
C32,37.2,40,90,top,
C33,40.6,49.1,90,top,
C34,21.1,49.2,180,top,
C35,25.1,53.5,90,top,
C36,27.575,54.1,0,top,
C37,30.95,55.6,0,top,
C38,33.9125,53.6,0,top,
C39,37.8,53.6,180,top,
C4,55.925,23.825,180,top,
C40,40.8,53.6,0,top,
C41,46.675,15.1,270,top,
C42,21.2,54.4,0,top,
C43,57.1,34.6,180,top,
C44,14.3,44.9,180,top,
C45,14.675,42.3,90,top,
C46,16.575,42.3,90,top,
C47,49.4,26.4,270,top,
C48,18.5,44.3,270,top,
C49,47.475,34.5,270,top,
C5,45.825,22.2,90,top,
C50,45.525,34.5,270,top,
C51,45.7,26.5,90,top,
C52,10.5,76.2,180,top,
C53,8.85,59.2,270,top,
C54,46.8,91.5873,90,top,
C55,18.1,78.2,180,top,
C56,15,61.9,270,top,
C57,5,91.4873,90,top,
C58,33.5,81.1625,270,top,
C59,30.65,76.25,180,top,
C6,17.8,16.6,90,top,
C60,29.4,59.5,270,top,
C61,13.4,81.1375,270,top,
C62,52.7,81.1625,270,top,
C63,38.1,77.8,180,top,
C64,35,61.8,270,top,
C65,23.4,91.5,90,top,
C66,50,76.15,180,top,
C67,48.3,59.4,270,top,
C68,57.3,78.2,180,top,
C69,54.6,61.7,270,top,
C7,18.5,23.35,180,top,
C70,71.8228,19.819,90,top,
C71,71.8228,25.3816,270,top,
C8,17.475357,14.342516,180,top,
C9,31.3,9.7,0,top,
D1,12.775,8.2,90,top,270
D10,7.1,59.1,270,top,
D11,14.8,75.5,270,top,
D12,35,75.5,270,top,
D13,27.8,59.35,270,top,
D14,54.3,75.5,270,top,
D15,46.6,59.3,270,top,
D16,67.6064,24.8664,270,top,
D2,43.725,8.2,270,top,90
D3,43.300001,13.8,90,top,
D4,39.7,13.8,90,top,
D5,41.5,13.8,90,top,
D6,16.1,51.3,270,top,
D7,19.6,37.3,270,top,
D8,79.0618,90.6934,90,bottom,
D9,80.6112,86.477,270,top,
H7,27.6,24.3,180,bottom,
J1,14.1,2.1,180,top,
J10,49.7,8.15,180,top,
J11,63.5932,86.8834,90,top,
J12,80.4754,47.4212,270,top,
J13,92.182,21.6214,90,top,
J2,96.2212,5.9824,90,top,
J3,53.2,2.1,180,top,
J4,86.8318,92.9794,90,top,
J5,23.4,2.1,180,top,
J7,73.3468,47.2086,270,top,
J8,88.8318,75.0216,90,top,
J9,3.4,23.4,180,top,
L1,10.1,50.2,270,top,
